% # columns="iteration, evaluation, void, void, void, xmean", seed=498313, Fri Nov 27 02:35:45 2020, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 4 0 0 0 22.421168071649358 23.880885114627155 10.30184297172441
2 8 0 0 0 26.11010283310289 23.450254390615992 7.201085228417656
3 12 0 0 0 26.78867691286522 22.7598023693382 5.302141020689378
4 16 0 0 0 24.427422067514904 22.325639136026446 1.4063970816572446
5 20 0 0 0 26.971975157282348 23.596917583520934 4.92174796158221
6 24 0 0 0 27.421693736217268 24.60412915693674 7.415855890808878
7 28 0 0 0 28.548613276476548 22.783577937319855 9.867990975528674
8 32 0 0 0 28.741225316657086 24.534264731744702 9.139307503702774
9 36 0 0 0 24.613593742836926 24.419013455667315 7.344178039547303
10 40 0 0 0 25.99511520205977 25.269683971792617 10.339316233035433
11 44 0 0 0 24.803298948976117 23.141963034866396 10.146271430748085
12 48 0 0 0 26.900355555081408 24.487124187354702 10.090342876891011
13 52 0 0 0 24.10754815005506 24.112446850481774 10.375531248716957
14 56 0 0 0 22.94751389402761 26.211868229729774 10.112340068646024
15 60 0 0 0 20.97201338439897 27.05703734756103 8.131363321498695
16 64 0 0 0 19.273605218284754 27.939823677355356 7.373852480015016
17 68 0 0 0 23.559980755461538 26.48484277425538 10.00174886394899
18 72 0 0 0 21.055670325045046 27.590792413231892 11.597740601353495
19 76 0 0 0 21.644336941902168 26.671676680744245 12.465898219953917
20 80 0 0 0 23.07456003788898 25.09904294796638 13.031234864700853
21 84 0 0 0 23.25680825236074 25.496155490821142 13.503595285202778
22 88 0 0 0 24.375413299662082 25.409115952009103 14.282286720145624
23 92 0 0 0 24.21491164558801 25.789097086932376 14.069393228721733
24 96 0 0 0 23.703132273830256 25.460445399830895 14.517013482796981
25 100 0 0 0 22.986638972867837 25.193786730926416 14.440116410027912
26 104 0 0 0 22.957996054104814 24.30480919137687 14.384676215670575
27 108 0 0 0 23.56788667820492 24.853257781372253 14.123127253976168
28 112 0 0 0 23.182273422995948 24.893727936124872 13.496803308855007
29 116 0 0 0 22.526009118119 24.773942012201122 12.928438861210772
30 120 0 0 0 22.673216996259942 25.14598899541455 12.872645748575328
31 124 0 0 0 22.894694966464044 25.089620333406657 12.230235277090753
32 128 0 0 0 22.59707403733354 24.786469893984318 12.570702172560646
33 132 0 0 0 22.602748630800242 24.92525829176431 12.370424681187846
34 136 0 0 0 22.44427047414065 25.018928994782325 12.224107135122532
35 140 0 0 0 22.378914215774376 25.075246766312453 12.035848060374633
36 144 0 0 0 21.72602076737789 25.388439139216157 11.615535415824091
37 148 0 0 0 21.241670639876627 25.431896691155956 11.405902182576426
38 152 0 0 0 21.21461580138582 25.21644001182678 11.166514884441561
39 156 0 0 0 21.442120218344137 25.342523987506667 11.10719800528971
40 160 0 0 0 20.84358859216573 25.569457196543432 10.516378897721287
41 164 0 0 0 20.917982670417448 26.135103082760367 10.739912704973058
42 168 0 0 0 20.192246469009223 26.33577815895292 10.383722617147258
43 172 0 0 0 20.03734548518442 26.508063872241195 9.803512948416461
44 176 0 0 0 19.646159587662822 27.027502733121977 8.822956266321961
45 180 0 0 0 20.18530035039055 26.202775586109894 9.78543453409542
46 184 0 0 0 19.5643164156217 26.722611072373915 9.807644204691485
47 188 0 0 0 19.176154334931496 26.579847115649653 10.244194885493357
48 192 0 0 0 19.89690422327817 26.08958572677416 10.260535318269088
49 196 0 0 0 20.66246567674403 25.5987565149576 11.211144282410283
50 200 0 0 0 20.142345501590505 25.81283164639139 10.883220213689532
51 204 0 0 0 20.44183928434601 26.000775589653664 11.097205564734153
52 208 0 0 0 20.763686257131138 26.416607018461026 10.783603646073345
53 212 0 0 0 21.03058547652209 26.733295931418173 11.156003362559893
54 216 0 0 0 21.673195138669914 26.28187921842887 10.941265441239706
55 220 0 0 0 22.099036280374918 26.459692080164835 12.022843903212276
56 224 0 0 0 22.99073725824964 26.427524840480075 12.112056655993975
